name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,new_column,total_sales
Wii Sports,Wii,2006,Sports,41.36,28.96,3.77,8.45,76.0,8.0,E,Wii Sports_Wii_Sports_2006,82.53999999999999
Super Mario Bros.,NES,1985,Platform,29.08,3.58,6.81,0.77,,,,Super Mario Bros._NES_Platform_1985,40.24
Mario Kart Wii,Wii,2008,Racing,15.68,12.76,3.79,3.29,82.0,8.3,E,Mario Kart Wii_Wii_Racing_2008,35.519999999999996
Wii Sports Resort,Wii,2009,Sports,15.61,10.93,3.28,2.95,80.0,8.0,E,Wii Sports Resort_Wii_Sports_2009,32.77
Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,11.27,8.89,10.22,1.0,,,,Pokemon Red/Pokemon Blue_GB_Role-Playing_1996,31.380000000000003
Tetris,GB,1989,Puzzle,23.2,2.26,4.22,0.58,,,,Tetris_GB_Puzzle_1989,30.259999999999998
New Super Mario Bros.,DS,2006,Platform,11.28,9.14,6.5,2.88,89.0,8.5,E,New Super Mario Bros._DS_Platform_2006,29.8
Wii Play,Wii,2006,Misc,13.96,9.18,2.93,2.84,58.0,6.6,E,Wii Play_Wii_Misc_2006,28.91
New Super Mario Bros. Wii,Wii,2009,Platform,14.44,6.94,4.7,2.24,87.0,8.4,E,New Super Mario Bros. Wii_Wii_Platform_2009,28.32
Duck Hunt,NES,1984,Shooter,26.93,0.63,0.28,0.47,,,,Duck Hunt_NES_Shooter_1984,28.31
Nintendogs,DS,2005,Simulation,9.05,10.95,1.93,2.74,,,,Nintendogs_DS_Simulation_2005,24.67
Mario Kart DS,DS,2005,Racing,9.71,7.47,4.13,1.9,91.0,8.6,E,Mario Kart DS_DS_Racing_2005,23.209999999999997
Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,9.0,6.18,7.2,0.71,,,,Pokemon Gold/Pokemon Silver_GB_Role-Playing_1999,23.09
Wii Fit,Wii,2007,Sports,8.92,8.03,3.6,2.15,80.0,7.7,E,Wii Fit_Wii_Sports_2007,22.7
Kinect Adventures!,X360,2010,Misc,15.0,4.89,0.24,1.69,61.0,6.3,E,Kinect Adventures!_X360_Misc_2010,21.82
Wii Fit Plus,Wii,2009,Sports,9.01,8.49,2.53,1.77,80.0,7.4,E,Wii Fit Plus_Wii_Sports_2009,21.8
Grand Theft Auto V,PS3,2013,Action,7.02,9.09,0.98,3.96,97.0,8.2,M,Grand Theft Auto V_PS3_Action_2013,21.05
Grand Theft Auto: San Andreas,PS2,2004,Action,9.43,0.4,0.41,10.57,95.0,9.0,M,Grand Theft Auto: San Andreas_PS2_Action_2004,20.810000000000002
Super Mario World,SNES,1990,Platform,12.78,3.75,3.54,0.55,,,,Super Mario World_SNES_Platform_1990,20.62
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,4.74,9.2,4.16,2.04,77.0,7.9,E,Brain Age: Train Your Brain in Minutes a Day_DS_Misc_2005,20.14
Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,6.38,4.46,6.04,1.36,,,,Pokemon Diamond/Pokemon Pearl_DS_Role-Playing_2006,18.24
Super Mario Land,GB,1989,Platform,10.83,2.71,4.18,0.42,,,,Super Mario Land_GB_Platform_1989,18.14
Super Mario Bros. 3,NES,1988,Platform,9.54,3.44,3.84,0.46,,,,Super Mario Bros. 3_NES_Platform_1988,17.28
